communityname,state,countyCode,communityCode,autoTheftPerPop,PctKidsBornNeverMar,PctKids2Par,PctFam2Par,PctTeen2Par,PctRecImmig10,PctPersDenseHous,PctForeignBorn,PctRecImmig8,PopDens,PctHousLess3BR,PctRecImmig5,FemalePctDiv,PctNotSpeakEnglWell,PctPersOwnOccup,PctRecentImmig,TotalPctDiv,PctSpeakEnglOnly,PctYoungKids2Par,pctWPubAsst,PctLargHouseFam,PctHousOwnOcc,pctWInvInc,MalePctDivorce,PctUnemployed,PctVacantBoarded,MedNumBR,PctUsePubTrans,RacialMatchCommPol,PctNotHSGrad,LemasPctOfficDrugUn
Shermancity,TX,,,469.94,2.47,64.64,68.41,70.94,1.94,3.41,2.97,1.66,816.1,52.11,1.05,15.26,0.81,59.76,0.53,13.53,94.85,75.18,7.02,3.66,57.83,37.36,11.48,7.19,2.77,2,0,,24.86,0
SanPablocity,CA,,,1591.71,7.44,56.36,58.06,57.16,16.46,18.18,26.41,12.59,9387.3,72.06,8.65,18.96,10.8,48.07,5.78,16.57,60.3,61.46,23.63,12.43,47.14,24.98,13.91,10.16,3.78,2,11.22,,34.18,0
BowlingGreencity,KY,,,322.85,3.56,60.7,64.6,67.77,0.92,2.49,1.54,0.82,1354.2,53.27,0.76,13.43,0.59,53.11,0.51,11.95,96.72,71.28,9.6,2.99,50.59,34.02,10.16,6.93,1.51,2,0.28,,28.52,0
PineBluffcity,AR,,,880.7,8.51,50.22,58.65,59.7,0.28,5.43,0.71,0.24,1301.5,46.91,0.23,14.18,0.54,61.62,0.19,12.74,96.83,63.07,13.58,7.86,61.74,24.41,10.92,11.05,4.06,3,0.93,63.67,34.5,10.81
NewUlmcity,MN,15,46042,153.58,0.87,81.44,79.99,85.51,0.24,0.94,0.91,0.24,1481.2,38.26,0.16,8.37,0.42,80.28,0.12,7.32,91.11,87.19,6.6,3.61,74.48,56.06,6.08,3.67,0,3,0.08,,25.41,0
Maplewoodcity,MN,123,40382,469.34,2.71,76.9,76.68,81.49,0.92,1.43,2.62,0.62,1724.8,42.87,0.29,11.14,0.69,80.79,0.26,9.75,95.05,84.85,4.87,3.71,75.86,51.08,8.23,4.17,2.08,3,3.35,,14.64,0
Enfieldtown,CT,3,25990,508.94,1.3,79.92,81.96,80.39,1.41,1.23,5.22,0.89,1314.3,32.43,0.61,9.76,0.92,79.94,0.49,8.38,90.41,91.04,3.78,4.08,76.15,50.24,7.02,4.01,0.16,3,1.28,,21.62,0
Glendalecity,CA,,,806.68,2.62,74.78,77.1,79.01,27.29,18.31,45.19,22.94,5677.3,75.17,18.71,13.33,15.46,39.38,13.71,11.12,46.84,86.01,11.27,6.98,38.71,40.04,8.68,6.95,2.25,2,4.15,92.47,22.83,5.88
Worthingtoncity,OH,,,119.12,0.74,82.05,82.5,78,1.37,0.43,4.73,1.27,2552.7,18.79,0.77,11.09,0.53,85.62,0.56,8.64,94.75,94.94,1.59,2.47,82.53,69.45,5.73,2.57,0.61,3,1.96,,5.95,0
Arlingtoncity,TX,,,838.8,1.89,75.99,78.19,76.69,4.35,4.95,7.64,3.41,2716.3,47.54,2.3,14.79,2.2,58,1.45,12.77,87.44,87.64,2.71,4.07,51.84,39.01,10.73,4.99,1.81,3,0.14,95.56,12.19,7.87
Plymouthcity,MN,53,51730,164.72,1.31,86.12,85.61,87.45,0.96,1.21,2.61,0.76,1491.7,40.32,0.59,10.17,0.56,79.9,0.37,9.09,94.19,93.55,2.41,3.3,73.63,58.68,7.99,3.24,0.08,3,2.64,,5.56,0
NewYorkcity,NY,,,1536.49,10.5,52.24,57.64,59.25,13.02,12.3,28.45,10.34,22878.2,73.76,7.26,14.02,9.84,31.59,4.51,11.77,59.04,67.42,13.12,9.16,28.64,35.38,9.13,8.98,4.83,2,54.33,75.94,31.68,6.91
Marinacity,CA,,,322.37,1.69,77.88,80.12,78.19,7.91,11.94,18.34,5.48,2917.9,55.65,3.36,11.83,4.31,31.74,2.25,9.33,71.79,90.58,6.9,7.26,34.5,28.69,7.15,3.5,0.57,2,1.93,,15.83,0
Lebanoncity,NH,9,41300,217.79,1.78,72.56,74.41,77.2,1.17,1.26,3.09,1.07,291.4,56.02,0.71,13.85,1.23,58.03,0.71,11.94,93.31,84.48,3.37,1.9,51.73,38.36,9.73,3.14,1.28,2,0.75,,17.61,0
Rockledgecity,FL,,,349.75,1.41,72.98,77.22,75.63,1.1,2.26,4.63,0.91,1581.4,29.4,0.57,13.36,0.75,78.92,0.48,11.99,93.6,82.62,2.74,3.74,77.85,47.11,10.45,5.39,1.14,3,0.58,,14.21,0
Rogerscity,AR,,,155.61,0.89,76.61,78.73,85.57,0.43,2.8,1.43,0.4,1073.9,41.45,0.34,13.38,0.75,65.6,0.27,11.54,95.9,88.72,3.92,3.36,63.8,42.1,9.43,3.31,0.34,3,0,,22.43,0
Bellairecity,TX,,,301.12,0.32,77.07,78.29,86.93,1.53,1.36,5.08,0.77,3697.1,30.49,0.27,15.57,1.21,75.61,0.04,12.8,89.62,91.35,0.73,2.69,75.35,65.77,9.63,2.69,1.25,3,1.11,,7.59,0
ElCajoncity,CA,,,954.64,3.29,63.25,65.86,65.85,4.87,8.76,9.71,4.25,5943,63.54,3.04,19.09,3.17,40.87,2.01,16.22,85.2,74.02,12.74,5.26,40.71,34.68,13.12,7.07,1.47,2,2.17,,21.49,0
MosesLakecity,WA,,,400.73,1.84,73.66,75.49,76.77,2.47,4.87,6.19,2.39,1189.1,47.7,1.86,13.25,2.94,66.4,1.71,12.15,83.37,84.59,10.28,5.93,62.56,34.4,10.96,6.5,2.18,3,0.09,,26.49,0
WestMemphiscity,AR,,,854.15,9.54,51.11,60.12,61.76,0.19,6.3,0.66,0.17,1900.7,43.55,0.04,16.28,0.18,58.69,0,14.22,98.41,61.99,13.69,7.83,57.74,21.89,11.69,8.34,8.31,3,0.1,,37.55,0
Eunicecity,LA,,,278.33,5.78,62.57,67.27,66.57,0.06,7.17,0.22,0,2323.5,40.73,0,12.76,2.4,63.1,0,11.08,65.56,68.65,18.81,9,64.53,20.56,8.97,13.93,7.32,3,0.78,,44.84,0
Laredocity,TX,,,680.91,2.8,67.71,75.51,75.33,9.68,26.43,24.37,7.23,3608.7,53.73,5.27,10.95,21.64,61.58,3.43,8.73,8.15,84.14,16.71,21.34,58.96,18.24,6.18,11.24,6.4,2,3.55,95.47,51.16,4.26
Amsterdamcity,NY,57,2066,84.88,3.28,62.69,65.74,70.4,1.53,1.79,6.03,1.3,3353.7,36.94,1.14,11.8,2.49,53.56,0.64,10.7,78.98,67.57,7.08,4.07,50.94,47.13,9.34,8.97,2.1,3,2.6,,31.33,0
Gorhamtown,ME,5,28240,66.89,0.72,78.23,80.48,77.23,0.49,1.2,2.58,0.36,225.9,38.37,0.13,10.65,0.24,83.55,0.07,9.06,95.94,94.1,4.56,3.62,79.89,51.29,7.33,5.73,0,3,0.88,,13.97,0
RockSpringscity,WY,,,374.14,1.06,77.97,78.88,86.8,0.05,2.83,1.72,0,998.4,46.05,0,12.21,0.61,71.4,0,11.89,93.22,85.49,5.74,5.33,67.27,40.93,11.57,5.13,7.53,3,5.76,,17.5,0
Oakdalecity,CA,,,368.66,2.51,67.82,70.31,74.89,3.08,7.42,8.16,2.5,2853.3,49.8,1.68,16.32,3.08,55.37,1.16,14.31,86.3,80.88,13.22,5.56,56.37,33.34,12.03,10.34,1.08,3,0,,30.95,0
Hendersoncity,NC,,,625.04,9.53,42.97,49.68,49.82,0.43,5.05,1.15,0.31,2134,46.78,0.31,16.06,0.68,50.62,0.13,14.13,96.9,50.51,13.17,6.31,52.29,24.1,11.55,7.91,4.9,3,0.11,,43.91,0
Norcocity,CA,,,1033.84,3.46,75.36,82.9,80.68,2.38,6.06,7.18,1.34,1641.4,22.51,1.21,12.03,2.25,82.83,0.48,9.94,84.6,88.3,5.92,10.56,82.4,38.24,8.43,5.1,3.63,3,0.27,,24.25,0
Greenvillecity,MS,,,417.98,12.32,42.18,52.47,54.33,0.25,9.73,0.55,0.25,1672.6,45.71,0.18,14.97,0.21,57.98,0.11,13.52,97.37,56.12,18.48,11.3,58.32,20.33,11.72,12.45,12.14,3,0.24,,38.54,0
SanCarloscity,CA,,,191.38,0.58,81.21,82.5,77.66,3.19,1.98,12.55,2.19,4486.8,44.78,1.33,12.87,1.64,75.92,0.8,11.26,84,91.83,2.52,2.14,72.37,62.49,9.48,2.43,0.68,3,3.98,,8.38,0
SanAngelocity,TX,,,192.49,1.9,70.45,74.97,76.93,1.6,6.6,5.38,1.06,1702.6,52.54,0.72,13.83,3.89,61.39,0.42,12.12,73.84,83.76,6.25,5.71,59.21,37.05,10.22,7.71,1.64,2,0.68,93.65,29.08,11.61
Barbertoncity,OH,153,3828,318.93,4.37,64.74,66.86,70.4,0.13,1.45,1.44,0.07,3513.5,44.54,0.07,13.8,0.45,66.48,0.07,12.63,95.79,66.61,12.39,3.99,64.26,36.17,11.23,8.67,3.39,3,1.91,,31.19,0
Pontiaccity,MI,125,65440,1254.43,12.73,41.73,46.61,52.16,0.76,6.93,2.31,0.5,3434.7,55.71,0.34,19.81,1.35,52.36,0.27,17.89,91.4,48.83,22.07,9.52,49.73,20.23,15.75,14.4,12.83,2,0.9,80.81,37.61,10.69
Suffolkcity,VA,800,76432,457.86,8.21,59.27,67.53,67.93,0.32,3.41,0.83,0.27,125.8,34.4,0.14,11.88,0.31,68.27,0.09,11,97.01,73.73,10.49,6.44,67.75,29.04,9.99,7.06,9.83,3,1.63,,36.09,0
Martinsvillecity,VA,690,49784,337.99,7.8,53.26,59.28,64.04,0.4,2.44,0.88,0.33,1423.7,47.1,0.04,15.14,0.51,63.12,0.04,13.39,96.59,53.45,8.64,4.18,60.67,35.91,11.15,5.68,5.52,3,0,,37.05,0
Bricktownship,NJ,29,7420,143.15,1.03,82.61,84.22,84.33,0.79,1.31,4.71,0.66,2441,44.45,0.56,9,0.85,83.83,0.26,7.69,92.48,92.92,3.6,4.06,82.54,48.04,6.22,5.55,0.72,3,1.75,,20.23,0
LagunaBeachcity,CA,,,578.13,0.3,74.71,76.69,80.52,3.56,2.34,11.17,3,2575.6,59.3,2.32,19.21,2.03,64.34,1.97,16.9,88.52,93.62,2.75,2.54,59.78,57.16,14.7,1.84,0.57,2,1.97,,5.87,0
Robstowncity,TX,,,413.53,3.45,61.18,72.16,72.71,1.05,20.25,4.97,0.34,1345.2,50.24,0.16,12.4,14.64,68.41,0,10.59,15.13,76.35,24.32,18.52,68.98,13.09,8.53,12.26,25.81,2,1.23,,61.8,0
Wyomingcity,MI,81,88940,409.8,2.5,75.93,76.5,74.53,0.93,2.55,3.49,0.69,2539,48.64,0.58,12.84,0.95,73.05,0.28,11.33,94.47,83.36,4.69,4.93,67.43,41.08,9.7,5.13,0.79,3,0.59,,21.43,0
Hastingscity,MN,37,27530,242.06,1.42,79.48,79.12,76.62,0.34,1.63,1.02,0.34,1641.9,37.23,0.26,10.57,0.61,78.24,0.26,9.66,96.83,92.03,3.41,4.2,72.34,47.33,8.72,5.18,0.69,3,1.69,,18.63,0
Paragouldcity,AR,,,162.59,0.67,72.93,76.53,75.02,0,1.88,0.26,0,616.9,43.88,0,13.59,0.28,68.9,0,12.75,98.98,77.38,8.77,2.28,67.53,33.14,11.78,7.01,4.66,3,0.23,,39.87,0
BeverlyHillscity,CA,,,663.76,1.04,77.69,75.73,81.23,14.54,3.27,34.82,11.12,5437.2,61.04,7.76,15.23,4.86,54.32,4.73,12.23,64.34,90.56,3.47,4.05,43.85,55.83,8.33,3.8,1.38,2,4.31,97.57,10.57,4.76
UniversityHeightscity,OH,35,78932,216.5,2.22,83.27,83.94,79.48,2.13,0.56,10.29,1.79,7812.2,22.15,1.26,7.76,0.8,83.68,0.74,6.2,88.61,88.68,2.47,3.36,77.25,65.12,4.4,4.65,0,3,5.81,,9.16,0
Marioncity,OH,,,296.29,2.97,66.69,70.49,76.39,0.24,1.68,0.75,0.12,4102.3,40.38,0.1,15.71,0.24,63.17,0,14.6,97.7,77.23,12.41,4.6,61.48,31.66,13.31,10.98,3.38,3,1.01,,30.32,0
Toledocity,OH,95,77000,1394.26,6,58.92,62.64,65.53,1.03,1.95,2.78,0.89,3988.5,47.33,0.76,15.15,0.8,64.11,0.53,13.62,93.15,68.72,12.29,5.59,60.65,36.37,11.86,9.92,13.37,3,3,97.91,26.84,4.39
Philadelphiacity,PA,101,60000,1554.73,11.53,47.22,53.45,56.66,2.81,4.69,6.61,2.19,11326,42.28,1.61,14.12,2.63,66.55,1.08,12.53,86.31,62.33,13.98,8.48,61.95,32.15,10.62,9.62,21.96,3,29.31,79.54,35.69,4.19
Newtoncity,MA,17,45560,288.96,0.7,84.77,84.76,84.44,4.16,0.84,13.03,3.46,4413,33.82,2.85,7.62,1.63,73.79,2.09,6.41,84.82,94.31,2.91,4.02,68.91,66.23,4.92,3.94,0.29,3,12.27,,8.34,0
OrmondBeachcity,FL,,,241.97,1.18,74.95,76.18,78.71,0.83,1.07,6.05,0.59,1137.7,43.28,0.43,11.99,0.7,78.76,0.41,10.31,91.96,86.68,4.52,2.01,76.93,54.7,8.39,4.21,0.81,3,0.77,,15.77,0
Lynchburgcity,VA,680,47672,273.97,5.88,59.7,64,69.8,0.85,1.83,1.68,0.79,1290.5,47.28,0.72,12.67,0.35,61.35,0.51,11.25,96.8,69.62,7.54,3.95,58.2,39.06,9.43,5.97,4.31,3,3.33,81.87,30.52,5.8
Clintoncity,MS,,,52.58,3.9,74.47,76.53,77.03,1.04,2.99,1.78,0.96,885.5,33.11,0.96,11.35,0.35,72.5,0.71,9.11,96.28,81.25,3.8,3.92,68.26,42.8,6.55,3.37,0.94,3,0.24,,13.22,0
Andersoncity,SC,,,459.81,7.89,49.67,56.04,59.42,0.16,3.97,0.7,0.16,2042.4,57.54,0.14,14.14,0.44,52.36,0.11,12.75,97.25,64.92,8.88,5.24,52.26,31.57,10.91,7.46,2.41,2,0.88,,37.36,0
Mesquitecity,TX,,,657.34,1.78,74.52,77.5,75.71,2.08,4.75,4.66,1.5,2286.9,36.41,1.02,15.87,1.19,67.55,0.49,13.21,89.97,84.99,4.08,4.66,63.45,34.13,10.29,4.74,5.24,3,1.22,92.83,18.76,5.62
ParkForestvillage,IL,,,445.57,3.72,70.17,71.03,73.42,0.73,1.63,3.38,0.55,4826.9,44.74,0.39,16.2,0.67,70.95,0.16,12.71,93.73,84.99,4.16,4.83,69.66,42.77,8.64,4.94,0.31,3,11.71,,13.06,0
ChippewaFallscity,WI,17,14575,111.24,1.89,72.67,72.22,73.78,0.09,1.06,0.64,0.02,1249.9,51.2,0,12.13,0.47,65.29,0,10.14,96.81,77.26,8.75,3.44,58.78,49.72,7.8,6.85,2.54,2,0.19,,25.73,0
Beavercreekcity,OH,,,184.67,0.32,88.59,89.64,89.58,1.03,0.45,3.43,0.94,1260.7,16.76,0.73,6.42,0.49,88.77,0.52,5.81,95.48,96.51,1.98,3.26,86.08,64,5.19,3.13,0.22,3,0.34,,11.01,0
Keenecity,NH,5,39300,106.62,1.74,73.75,74.41,82.82,0.8,1.25,2.65,0.71,580.3,48.35,0.57,11.97,0.52,64.12,0.2,10.46,95.33,80.96,4.67,2.93,58.09,51.45,8.61,6.42,0.44,3,0.03,,16.34,0
Springfieldtownship,OH,23,74119,90.98,1.16,77.61,82.16,74.35,0.11,1.2,0.97,0.11,369.6,32.59,0.04,9.11,0.48,83.85,0.04,8.48,97.24,83.46,5.23,3.26,82.69,46.04,7.8,5.41,2.27,3,0.2,,25.83,0
Swissvaleborough,PA,3,75816,1145.62,2.99,64.25,63.45,66.94,0.48,0.65,2.29,0.48,8564.4,56.32,0.36,12.34,0.35,62.28,0,11.16,93.29,70.11,8.65,3.26,55.3,43.75,9.65,6.62,5.87,2,16.83,,21.74,0
Knoxvillecity,TN,,,935.68,4.81,57.18,62.09,64.48,1.23,2.29,1.98,1.1,2063.3,59.26,0.88,15.95,0.48,54.26,0.71,14.23,96.24,75.41,9.69,3.15,49.86,34.7,12.18,7.11,7.04,2,1.93,87.37,29.21,10.26
Kernersvilletown,NC,,,313.13,2.38,65.51,66.54,67.38,0.98,1.7,1.59,0.55,1451,65.02,0.55,17.29,0.81,47.84,0.33,15.37,96.9,80.56,2.24,1.49,42.9,30.14,13.18,5.99,1.27,2,0,,25.51,0
Bloomingtoncity,MN,53,6616,484.96,1.27,80.39,80.21,82.66,1.6,1.41,4.04,1.04,2345.2,42.58,0.71,10.92,0.71,77.03,0.5,9.4,94.3,88.29,2.63,2.84,70.35,56.86,7.74,3.28,0.15,3,3.14,,8.76,0
ScotchPlainstownship,NJ,39,66060,409.91,0.67,83.94,86.47,86.91,3.67,0.92,10.92,2.34,2250.1,25.64,1.56,7.81,1.53,85.73,1.08,6.47,85.29,96.9,2.35,3.96,81.45,64.95,5,3.75,2.53,3,7.6,,12.02,0
Newingtontown,CT,3,52140,376.17,0.85,81.3,82.24,79.27,2.02,0.88,10.94,1.58,2139.7,42.36,0.82,9.91,2.51,84.14,0.53,8.57,82.18,94.23,2.87,3.04,81,60.89,7.02,3.44,0.26,3,1.46,,20.02,0
Moberlycity,MO,,,165.48,2.49,67.77,71.13,75.51,0.18,1.82,0.75,0.18,1227.9,55.86,0.18,12.38,0.44,67.87,0.09,11.36,97.94,74.34,6.53,3.78,65.74,40.02,10.07,8.52,0.65,2,0.55,,31.36,0
Sandycity,UT,,,125.96,0.43,89.56,89.17,90.14,0.79,3.24,2.92,0.53,3625.3,13.73,0.39,7.77,0.55,89.44,0.3,6.38,94.69,95.53,2.59,20.44,87.34,45.34,4.95,3.56,1.31,4,2.34,,6.93,0
Wheatoncity,IL,,,44.33,0.68,87.61,87.46,85.32,2.66,1.32,6.45,2.11,4486.1,33.72,1.46,9.02,1.15,79.69,1.1,7.31,90.94,95.25,1.94,4.34,74.54,65.08,5.4,2.42,0.23,3,9.74,,7.8,0
WhiteLaketownship,MI,125,86860,202.34,2.64,80.98,82.93,79.86,0.24,2.06,2.05,0.21,648.8,32.43,0.18,12.04,0.23,90.45,0.18,10.75,96.45,92.8,5.63,4.46,89.13,44.73,9.43,6.2,0.61,3,0.18,,16.57,0
Chickashacity,OK,,,347.56,2.65,64.73,68.5,69.49,0.42,2.43,1.27,0.29,1057.3,51.03,0.22,14.36,0.29,65.84,0.19,13.15,96.64,77.13,10.04,3.68,66.47,34.3,11.61,9.5,6.94,2,0,,33.47,0
Tucsoncity,AZ,,,1142.94,4.29,61.93,65.86,68.55,4.74,7.3,10.71,3.81,2503.8,62.99,3.05,16.19,4.14,55.14,2.03,14.15,72.89,74.97,6.58,6.32,51.44,36.28,11.94,8.12,2.07,2,4.29,99.01,21.39,4.03
Gallowaytownship,NJ,1,25560,192.61,2.48,75.91,79.01,78.78,1.2,2.19,4.16,1.06,249.1,47.98,0.54,10.33,1,71.76,0.25,9.3,90.82,88.27,3.11,4.35,68.94,36.52,8.22,4.1,0.86,3,1.66,,18.12,0
Sweetwatercity,TX,,,245.82,1.79,70.05,75.23,67.66,0.58,6.25,2.49,0.52,1329.7,54.98,0.23,11.64,1.76,65.95,0.07,10.51,75.44,77.81,8.36,6.79,66.37,27.47,9.2,8.51,4.85,2,0.58,,41.2,0
Portsmouthcity,NH,15,62900,334.91,1.69,75.06,75.93,76.76,1.23,1.7,4.04,1,1602.6,57.38,0.57,14.26,0.8,42.77,0.36,12.53,93.41,82.78,4.68,2.87,41.88,48.5,10.7,5.12,2.5,2,0.99,,11.2,0
Hulltown,MA,23,31645,161.75,2.85,67.48,70.43,69.84,1.27,1.21,5.39,0.84,3397.6,37.96,0.45,14.04,1.02,69.74,0.2,12.32,91.99,89.89,7.14,7.07,66.9,37.59,10.51,7.31,13.56,3,8.66,,14.63,0
Scotttownship,PA,3,68388,269.96,0.77,82.4,83.2,78.67,0.72,0.64,3.07,0.6,4180.8,49.13,0.32,8.77,0.48,74.91,0.19,7.8,93.6,93.88,2.46,1.83,67.78,63.01,6.63,3.05,0.31,3,11.76,,16.84,0
Pittsfieldtownship,MI,161,64560,567.37,5.53,73.64,74.43,76.42,4.09,2.54,8.21,3.12,606.6,66.88,2.62,12.66,0.93,50.21,1.95,11.31,88.94,85.57,3.63,3.71,39.76,42.93,9.89,3.78,0.13,2,2.48,,12.12,0
Duncanvillecity,TX,,,705.67,1.81,76.06,78.22,76.93,1.28,3.35,3.39,0.88,3057.5,27.98,0.38,13.94,0.56,70.39,0.2,11.2,92.84,86.43,2.52,4.24,67.72,46.43,8.16,4.57,0.59,3,0.89,,12.99,0
Mexicocity,MO,,,88.26,2.12,69.43,71.5,78.06,0.19,1.63,0.87,0.19,1098.7,51.98,0.19,11.56,0.13,68.71,0.15,10.57,97.76,79.65,8.81,3.16,67.81,39.67,9.36,4.48,1.86,2,0.63,,30.01,0
NewProvidenceborough,NJ,39,51810,148.69,0.38,90.33,90.92,88.69,3.58,0.64,12.51,3.02,3001.1,25.71,1.85,7.31,1.23,81.13,1.38,5.8,85.44,93.16,2.04,3.2,75.52,70.06,4.13,2.71,1.19,3,7.98,,9.49,0
Barnstabletown,MA,1,3635,298.99,1.87,71.66,71.82,74.63,1.76,1.46,5.53,1.63,658.2,37.53,1.38,12.63,1.06,72.88,0.89,10.93,91.53,77.79,5.68,3.41,70.86,40.18,8.97,7.22,0.96,3,1.18,,11.27,0
Rutherfordborough,NJ,3,65280,421.06,1.33,83.65,84.36,90.84,5.61,2,16.06,4.83,6118.4,45.19,3.57,8.77,3.21,74.78,2.72,7.38,80.05,90.18,2.85,5.08,68.15,61.29,5.77,4.17,2.99,3,18.82,,16.92,0
Portlandcity,OR,,,1844.43,3.97,63.51,66.43,67.2,3.86,3.49,7.68,2.96,3386.2,56.17,2.3,17.45,2.17,57.6,1.72,16.07,90.01,76.28,6.9,5,52.98,43.45,14.55,6.16,5.5,2,11.41,91.4,17.1,4.81
Manassascity,VA,683,48952,267.14,2.8,79.06,81.33,79.22,4.48,3.13,7.62,3.19,2695.4,32.6,2.19,12.3,2.59,67.75,0.96,11,89.45,88.45,3.24,6.1,66.11,41.6,9.75,3.3,1.46,3,1,,15.79,0
Torrancecity,CA,,,1226.66,1.37,77.43,79.26,78.84,11.36,6.41,22.17,9.56,6260.9,52.31,7.14,13.42,5.83,60.49,4.93,11.64,72.79,92.28,4.3,4.13,56.29,51.28,9.77,3.95,1.56,2,1.53,82.16,12.38,4.12
SouthJordancity,UT,,,266.02,0.44,91.5,93.07,94.24,0.06,4.84,1.19,0,585.8,12.48,0,5.09,0.84,92.3,0,4.1,96.76,97.66,3.16,31.58,91.06,42.37,3.1,3.21,7.14,4,1.27,,9.1,0
RedwoodCitycity,CA,,,664.94,3.48,69.83,72.39,74.85,12.25,10.47,23.8,9.85,3349.1,61.71,7.09,15.3,7.86,51.04,4.47,13.43,69.2,83.7,5.3,7.25,50.78,49.19,11.56,3.82,0.59,2,3.85,,18.45,0
Lancastertownship,PA,71,41224,283.33,1.77,75.4,77.84,73.14,1.99,1.16,5.28,1.59,2104.5,40.69,1.34,10.71,0.76,65.72,0.82,9.55,89.75,85.65,4.14,2.85,59.31,61.86,8.14,3.31,0.5,3,1.68,,21.66,0
Algonquinvillage,IL,,,38.02,0.48,91.8,92.11,88.86,0.76,0.93,4.51,0.51,2148.7,20,0.3,6.77,0.26,92.43,0.04,6.16,93.59,98.59,0.18,3.95,89.42,57.19,5.53,2.29,2,3,3.2,,9.45,0
Sebastiancity,FL,,,101.99,1.68,75.83,80.47,82,0.95,1.88,5.5,0.56,785.2,52.66,0.31,9.77,0.44,79.15,0.14,9.08,94.06,89.36,3.65,2.39,82.22,40.44,8.33,5.66,0.21,2,0,,26.53,0
GrandForkscity,ND,35,32060,386.88,1.95,76.33,75.26,78.54,1.22,1.98,2.25,1.09,3304.7,57.07,0.97,9.78,0.3,56.93,0.76,8.28,94.35,83.86,4.64,3.6,48.71,45.03,6.77,5.08,0.85,2,0.95,,14.24,0
NewHaventown,CT,9,52070,1566,15.07,38.63,45.44,44.87,3.79,4.9,8.15,3.13,6679.9,67.53,2.54,14.2,3.93,34.96,1.92,12.44,79.35,53.9,14.61,7.07,31.78,37.07,10.37,9.25,10.18,2,9.54,74.62,28.97,3.08
Westwegocity,LA,,,1309.57,4.92,55.69,62.04,53.04,1.07,6.76,2,0.84,3399.4,58.36,0.63,15.86,1.1,56.69,0.17,14.97,87.22,84.79,11.22,6,56.62,19.06,13.93,8.37,10.97,2,1.19,,49.27,0
